"state_name","year","Value"
"ALABAMA",1850,5
"ARKANSAS",1850,6
"CALIFORNIA",1850,1
"CONNECTICUT",1850,31
"DELAWARE",1850,20
"FLORIDA",1850,4
"GEORGIA",1850,4
"ILLINOIS",1850,8
"INDIANA",1850,11
"IOWA",1850,6
"KENTUCKY",1850,9
"LOUISIANA",1850,15
"MAINE",1850,12
"MARYLAND",1850,19
"MASSACHUSETTS",1850,33
"MICHIGAN",1850,12
"MINNESOTA",1850,6
"MISSISSIPPI",1850,5
"MISSOURI",1850,7
"NEW HAMPSHIRE",1850,16
"NEW JERSEY",1850,44
"NEW MEXICO",1850,6
"NEW YORK",1850,29
"NORTH CAROLINA",1850,3
"OHIO",1850,20
"OREGON",1850,7
"PENNSYLVANIA",1850,27
"RHODE ISLAND",1850,31
"SOUTH CAROLINA",1850,5
"TENNESSEE",1850,5
"TEXAS",1850,1
"UTAH",1850,1
"VERMONT",1850,15
"VIRGINIA",1850,8
"WISCONSIN",1850,10
"ALABAMA",1860,9
"ARKANSAS",1860,10
"CALIFORNIA",1860,6
"CONNECTICUT",1860,36
"DELAWARE",1860,31
"FLORIDA",1860,6
"GEORGIA",1860,6
"ILLINOIS",1860,20
"INDIANA",1860,22
"IOWA",1860,12
"KANSAS",1860,7
"KENTUCKY",1860,15
"LOUISIANA",1860,22
"MAINE",1860,14
"MARYLAND",1860,30
"MASSACHUSETTS",1860,37
"MICHIGAN",1860,23
"MINNESOTA",1860,10
"MISSISSIPPI",1860,12
"MISSOURI",1860,12
"NEBRASKA",1860,6
"NEVADA",1860,5
"NEW HAMPSHIRE",1860,19
"NEW JERSEY",1860,60
"NEW MEXICO",1860,2
"NEW YORK",1860,38
"NORTH CAROLINA",1860,6
"NORTH DAKOTA",1860,4
"OHIO",1860,33
"OREGON",1860,7
"PENNSYLVANIA",1860,39
"RHODE ISLAND",1860,38
"SOUTH CAROLINA",1860,9
"TENNESSEE",1860,13
"TEXAS",1860,3
"UTAH",1860,15
"VERMONT",1860,22
"VIRGINIA",1860,12
"WASHINGTON",1860,6
"WISCONSIN",1860,17
"ALABAMA",1870,4
"ARIZONA",1870,6
"ARKANSAS",1870,4
"CALIFORNIA",1870,12
"COLORADO",1870,8
"CONNECTICUT",1870,42
"DELAWARE",1870,36
"FLORIDA",1870,3
"GEORGIA",1870,3
"IDAHO",1870,5
"ILLINOIS",1870,28
"INDIANA",1870,28
"IOWA",1870,20
"KANSAS",1870,13
"KENTUCKY",1870,13
"LOUISIANA",1870,8
"MAINE",1870,14
"MARYLAND",1870,30
"MASSACHUSETTS",1870,34
"MICHIGAN",1870,32
"MINNESOTA",1870,12
"MISSISSIPPI",1870,5
"MISSOURI",1870,14
"MONTANA",1870,4
"NEBRASKA",1870,12
"NEVADA",1870,7
"NEW HAMPSHIRE",1870,18
"NEW JERSEY",1870,69
"NEW MEXICO",1870,2
"NEW YORK",1870,46
"NORTH CAROLINA",1870,3
"NORTH DAKOTA",1870,6
"OHIO",1870,39
"OREGON",1870,9
"PENNSYLVANIA",1870,46
"RHODE ISLAND",1870,34
"SOUTH CAROLINA",1870,3
"TENNESSEE",1870,9
"TEXAS",1870,3
"UTAH",1870,12
"VERMONT",1870,25
"VIRGINIA",1870,9
"WASHINGTON",1870,6
"WEST VIRGINIA",1870,10
"WISCONSIN",1870,21
"WYOMING",1870,3
"ALABAMA",1880,4
"ARIZONA",1880,8
"ARKANSAS",1880,6
"CALIFORNIA",1880,16
"COLORADO",1880,22
"CONNECTICUT",1880,49
"DELAWARE",1880,34
"FLORIDA",1880,6
"GEORGIA",1880,4
"IDAHO",1880,9
"ILLINOIS",1880,32
"INDIANA",1880,31
"IOWA",1880,23
"KANSAS",1880,11
"KENTUCKY",1880,14
"LOUISIANA",1880,7
"MAINE",1880,16
"MARYLAND",1880,32
"MASSACHUSETTS",1880,44
"MICHIGAN",1880,36
"MINNESOTA",1880,14
"MISSISSIPPI",1880,6
"MISSOURI",1880,13
"MONTANA",1880,8
"NEBRASKA",1880,11
"NEVADA",1880,10
"NEW HAMPSHIRE",1880,20
"NEW JERSEY",1880,65
"NEW MEXICO",1880,9
"NEW YORK",1880,44
"NORTH CAROLINA",1880,6
"NORTH DAKOTA",1880,8
"OHIO",1880,46
"OREGON",1880,14
"PENNSYLVANIA",1880,49
"RHODE ISLAND",1880,50
"SOUTH CAROLINA",1880,5
"SOUTH DAKOTA",1880,5
"TENNESSEE",1880,10
"TEXAS",1880,5
"UTAH",1880,21
"VERMONT",1880,22
"VIRGINIA",1880,11
"WASHINGTON",1880,10
"WEST VIRGINIA",1880,13
"WISCONSIN",1880,23
"WYOMING",1880,7
"ALABAMA",1890,6
"ARIZONA",1890,6
"ARKANSAS",1890,8
"CALIFORNIA",1890,33
"COLORADO",1890,18
"CONNECTICUT",1890,42
"DELAWARE",1890,38
"FLORIDA",1890,20
"GEORGIA",1890,6
"IDAHO",1890,13
"ILLINOIS",1890,41
"INDIANA",1890,37
"IOWA",1890,28
"KANSAS",1890,19
"KENTUCKY",1890,16
"LOUISIANA",1890,9
"MAINE",1890,16
"MARYLAND",1890,35
"MASSACHUSETTS",1890,43
"MICHIGAN",1890,38
"MINNESOTA",1890,18
"MISSISSIPPI",1890,7
"MISSOURI",1890,20
"MONTANA",1890,13
"NEBRASKA",1890,19
"NEVADA",1890,7
"NEW HAMPSHIRE",1890,19
"NEW JERSEY",1890,60
"NEW MEXICO",1890,10
"NEW YORK",1890,44
"NORTH CAROLINA",1890,8
"NORTH DAKOTA",1890,10
"OHIO",1890,45
"OKLAHOMA",1890,5
"OREGON",1890,17
"PENNSYLVANIA",1890,50
"RHODE ISLAND",1890,47
"SOUTH CAROLINA",1890,8
"SOUTH DAKOTA",1890,9
"TENNESSEE",1890,12
"TEXAS",1890,8
"UTAH",1890,21
"VERMONT",1890,18
"VIRGINIA",1890,13
"WASHINGTON",1890,20
"WEST VIRGINIA",1890,15
"WISCONSIN",1890,28
"WYOMING",1890,8
"ALABAMA",1900,7
"ARIZONA",1900,7
"ARKANSAS",1900,8
"CALIFORNIA",1900,25
"COLORADO",1900,11
"CONNECTICUT",1900,42
"DELAWARE",1900,32
"FLORIDA",1900,9
"GEORGIA",1900,7
"IDAHO",1900,13
"ILLINOIS",1900,54
"INDIANA",1900,39
"IOWA",1900,43
"KANSAS",1900,15
